	
Brevs. 3	1826 - 1863"Breve vedk. Familien Wergeland fra og til Eidsvold i 1830-Aarene m.m." Tidligere innbundet. Brevene er ordnet med henvisning til sidetall. Se Leiv Amundsens artikkel i Edda 1922 (b. 18) om Brevs. 3 med utdrag av de brev som omhandler Henrik Wergeland. - Brevene frem til bryllupdagen 14. juli 1841 er trykt i C. Collett og P.J. Collett: Dagbøker og breve utg. ved Leiv Amundsen, b. 2-4, 1930-33. Brevene etter bryllupsdagen er utgitt elektronisk i NB kilder 2/2018. Datering følger utgivelsene. Håndskreven datering på brevene er dels samtidig med brevet, dels påført i senere tid sannsynligvis av Camilla Collett selv (jf. Ellisiv Steen 1954, s. 354) eller av hennes sønn Alf Collett. I de tilfeller hvor det er uoverensstemmelser mellom brevets datering og registerert datering er det lagt inn en note om at dateringen følger en av utgivelsene.
	
T	Tilleggsmappe. Dokumenter som senere er lagt til Brevs. 3 er lagt i en tilleggsmappe katalogisert T.
skjul	
T:1	Collett, Camilla til Marie Emilie Heltberg 1830.01 Brevet er til søstrene Marie og Hanna Herre. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_264535.
T:2	Wergeland, Harald Titus Alexis til Alf Collett 1878 - 1884 8 brev.
T:3	Alf Collett: Notater til egne erindringer, samt avskrifter av deler av Camilla Colletts brev til Emilie Diriks. 1 hefte.
	
162	Collett, Camilla til Emilie Diriks 1841.04.25
163	Collett, Camilla til Emilie Diriks 1841.04
164	Collett, Camilla til Emilie Diriks 1841.05.09  Fragment.
165	Collett, Camilla til Emilie Diriks 1841.05.31
166	Collett, Camilla til Nicolai Wergeland 1841.07.18  Fragment. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_157629.
167	Collett, Camilla til Emilie Diriks 1841.07
168	Collett, Camilla til Emilie Diriks 1841.06.08
169	Collett, Camilla til Emilie Diriks 1841.06.24  Fragment.
170	Collett, Camilla til Emilie Diriks 1841.08.09  Fragment. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154814.
171	Collett, Camilla til Emilie Diriks 1841.09  Fragment. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154815.
172	Collett, Camilla til Emilie Diriks 1841.09.12  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154816.
173	Collett, Camilla til Emilie Diriks 1842.06  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154817.
174	Collett, Camilla til Emilie Diriks 1842.06  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_262212.
175	Collett, Camilla til Emilie Diriks 1842.06  "Torsdag Aften". Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_262213.
176	Collett, Camilla til Emilie Diriks 1842.06  Utgitt elektronisk i NB kilder 2/2018. Datering følger utgaven i NB kilder. NBdigital: URN:NBN:no-nb_digimanus_154818.
177	Collett, Camilla til Emilie Diriks 1842.07.25  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154819.
178	Collett, Camilla til Emilie Diriks 1842.08.03  Fragment. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154820.
179	Collett, Camilla til Emilie Diriks 1842.08  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154821.
180	Collett, Camilla til Emilie Diriks 1842.09  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154822.
181	Collett, Camilla til Emilie Diriks 1842.10  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154823.
182	Collett, Camilla til Emilie Diriks 1842.10  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_154824.
183	Collett, Camilla til Nicolai Wergeland 1844.06  Fragment. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_157631.
184	Collett, Camilla til Nicolai Wergeland 1843.06.10  Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_157630.
185	Collett, Camilla til Oscar Wergeland 1844.01  Fragment. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_157655.
186	Arentz, Dorothea til Laura Arnesen 1843.02.05
187	Wergeland, Nicolai til Laura Arnesen 1843.11.27
188	Collett, Camilla til Laura Arnesen 1846  Våren 1846. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_153906.
189	Wergeland, Nicolai til Peter Jonas Collett 1848.01.16
190	Wergeland, Nicolai til Peter Jonas Collett 1848.02.02
191	Biørn, Amalie Sofie til Camilla Collett 1861.06.04
192	Collett, Camilla til Paul Botten-Hansen 1863.01.02  NBdigital: URN:NBN:no-nb_digimanus_154030. Avskrift finnes i Ms.4° 3496.
193	Diriks, Emilie til Camilla Collett 1835.01.27
194	Diriks, Emilie til Camilla Collett 1835.06.16  Fragment.
195	Diriks, Emilie til Camilla Collett 1838.05  Fragment. Trolig slutten av brevet Brevs. 3:219 (mai 1838).
196	Diriks, Emilie til Camilla Collett 1835.07.17
197	Diriks, Emilie til Camilla Collett 1835.10.24
198	Diriks, Emilie til Camilla Collett 1835.12.03  Datering følger Amundsens utgave.
199	Diriks, Emilie til Camilla Collett 1835.12.23  Fragment.
200	Diriks, Emilie til Camilla Collett 1835.12.18
201	Diriks, Emilie til Camilla Collett 1836.01.12
202	Diriks, Emilie til Camilla Collett 1836.04.24  Datering følger Amundsens utgave.
203	Diriks, Emilie til Camilla Collett 1836.04.04
204	Diriks, Emilie til Camilla Collett 1836.04.08  Fragment.
205	Diriks, Emilie til Camilla Collett 1836.04.14  Fragment.
206	Diriks, Emilie til Camilla Collett 1836.05.12
207	Diriks, Emilie til Camilla Collett 1836.05.24  Fragment.
208	Diriks, Emilie til Camilla Collett 1836.05.24  Fragment. Datering følger Amundsens utgave. Trolig slutten av Brevs. 3:207 (24. mai 1836).
209	Diriks, Emilie til Camilla Collett 1836.08.12
210	Diriks, Emilie til Camilla Collett 1837.05.31  Datering følger Amundsens utgave, hvor den oppgis til usikker.
211	Diriks, Emilie til Camilla Collett 1837.08.30
212	Diriks, Emilie til Camilla Collett 1837.09
213	Diriks, Emilie til Camilla Collett 1837.10  Fragment.
214	Diriks, Emilie til Camilla Collett 1838.01.07  Fragment.
215	Diriks, Emilie til Camilla Collett 1838  Se s. 439 i bindet "Frigjørelsens Aar".
216	Diriks, Emilie til Camilla Collett 1838.04
217	Colban, Marie til Camilla Collett 1839.02  Antatt avsender. Tidligere registrert som brev fra Emilie Diriks.
218	Diriks, Emilie til Camilla Collett 1838  Stamboksblad. Omtalt i Amundsens utgave i bindet "Frigjørelsens Aar" s. 448.
219	Diriks, Emilie til Camilla Collett 1838.05  Fragment.
220	Diriks, Emilie til Camilla Collett 1838  Se s. 439 i bindet "Frigjørelsens Aar".
221	Diriks, Emilie til Camilla Collett 1838.09  Fragment. Usikker måned.
222	Diriks, Emilie til Camilla Collett 1838.05.22  Datering følger Amundsens utgave.
223	Diriks, Emilie til Camilla Collett 1838.07.01  Fragment.
224	Diriks, Emilie til Camilla Collett 1838.05 - 1838.06.11  Ett enkeltblad og ett dobbeltblad. Enkeltbladet er fra mai og dobbeltbladet fra 11. juni 1838.
225	Diriks, Emilie til Camilla Collett 1838.02.17
226	Diriks, Emilie til Camilla Collett 1838.06  Usikker måned.
227	Diriks, Emilie til Camilla Collett 1841  Usikker datering. Se Amundsens utgave s. 412 i bindet "Før Brylluppet".
228	Diriks, Emilie til Camilla Collett 1839.11  Datering følger Amundsens utgave.
229	Diriks, Emilie til Camilla Collett 1841.01
