Hanske : Katalog over privatarkiv og musikkmanuskripter	
	Halvorsen, Johan til Anton Heiberg 1906.10.03
	Halvorsen, Kaare til Iwan Bratt 1945.02.04 Konsept. Vedligger brev fra I. Bratt til K. Halvorsen 16.1.1945.
	Halvorsen, Kaare til Iwan Bratt 1946.06.21 Konsept. Vedligger brev fra I. Bratt til K. Halvorsen 16.1.1945.
	Hamars Byfogedskontor til Stiftsamtmannen i Hamar 1869.02.11 Vedrørende barnebidrag fra Hulda Garborgs far.
	Hamsun, Arild til Ole Dommerud 1953.09.08
	Hamsun, Knut til Arne Kobbe 1941.02.06 Poststemplets dato.Inneholder manuskript gjengitt som faksimile i artikkelen "Arbeidstjensten skal Norge hilse som en velsignelse. En uttalelse av Knut Hamsun" av Arne [Kobbe] i bladet "AT Arbeidstjenesten" nr. 3 1941, s. 15. Kopi av faksimile vedligger. NBdigital: URN:NBN:no-nb_digimanus_108149.
	Hamsun, Marie til Gunhild Aarhus 0000.07.01 Sannsynlig brevmottaker, men kan også være tvillingsøsteren Tone Aarhus.
	Hamsun, Marie til Gunhild Aarhus 1925.06.18
	Hamsun, Marie til Arne Kobbe 1956.05.17 Gjennomslagskopi av brev fra Arne Kobbe til Marie Hamsun 16.3.1956 vedligger.
	Hanson, Hans til Signe Hall 1811.02 Avskrift.
	Hanssen, Helmer til Augusta Hanssen 1926.08.19 Diverse avisutklipp m.m. vedligger. Fotoalbum og et foto overført til Billedsamlingen.
	Harald 5, konge av Norge til Victor Schlytter 1947.02.21 Trykt takkekort.
	Hartner, Willy til Rolf Nesch 1962.01.03 Vedligger brev av 12.1.1962 fra Rolf Nesch til Willy Hartner.
	Haslund, Ebba til Jorunn Hareide 1981.02.02
	Haslund, Ebba til Jorunn Hareide 1981.03.05
	Haslund, Ebba til Jorunn Hareide 1987.10.23 Vedlegg: Ebba Haslunds anmeldelser av to Barbara Pym-romaner.
	Haslund, Ebba til Sissel Nilsen 2005 En fotokopi av den omtale artikkelen i brevet er lagt ved av registranten.
	Haugen, Einar til Magne Myhren 1974.10.01 Brev fra Magne Myhren 28.5.1975 vedligger.
	Haugen, Paal-Helge til Eilif Straume 1992
